tRF,control_mean,ad_mean,log_fold_change,p_value,adj_p_value,significant,core_cholinergic_Production,cholinergic_targets_Production,cholinergic_Production
tRF-23-5BF900BYDO,221.9096276,219.694109,-0.014476075,0.366448538,0.777256635,False,False,"SMAD2,KLF7,BMPR1B,RORA,BMPR1A,BMPR2,CNTF",True
tRF-18-O7M8LO04,62.64850935,49.82852178,-0.330308407,0.366448538,0.777256635,False,False,,False
tRF-18-BZOS4YV,607.0446397,366.5355781,-0.727849369,0.377913224,0.793224112,False,False,"BDNF,LHX6,SMAD2",False
tRF-22-I7XUK87SI,9.790161278,10.26709221,0.068623116,0.377913224,0.793224112,False,True,"SMAD2,RORB,BCHE,CLOCK,NTRK2,IL6R",True
tRF-23-93W0K6MYD9,10.11255378,12.18641441,0.269126331,0.386203465,0.797658971,False,False,,False
tRF-22-VP9N15WVN,20.52078982,25.45147688,0.310663115,0.400980381,0.797658971,False,False,,False
tRF-21-18YKISQID,43.58696473,26.69136414,-0.707523702,0.400980381,0.797658971,False,False,"BMP2,SMAD2",False
tRF-23-Y2PPEVNK0Q,831.9262806,729.8597204,-0.188836489,0.400980381,0.797658971,False,False,BMPR2,False
tRF-20-RX6N38Z9,21.68154742,24.85026856,0.196793717,0.400980381,0.797658971,False,False,,False
tRF-18-RX6NMHD5,29.05669835,24.82779428,-0.226914685,0.400980381,0.797658971,False,False,,False
tRF-19-J6K6UDE2,33.58323259,37.94701124,0.176245156,0.411227216,0.797658971,False,False,BDNF,False
tRF-21-JMRPFQ5DD,72.28670955,78.9030909,0.126351395,0.411227216,0.797658971,False,False,,False
tRF-19-W3FJIKE5,17.92988247,17.93001343,1.05e-05,0.411227216,0.797658971,False,False,,False
tRF-21-BE7XO8Q6D,259.6805854,199.0711344,-0.383454114,0.411227216,0.797658971,False,True,"SMAD2,RORA,BMPR2,LIFR,BMP5,CLOCK,LHX8,NR1D2,SLC5A7,KLF7,ARNTL2,KLF4,BMPR1B,NTRK2,LIF,IL6ST,BMP3",True
tRF-20-YDU37Y93,12.35940674,10.70223833,-0.207696932,0.411227216,0.797658971,False,False,"SMAD2,NR1D2,RORA",False
tRF-23-V47P596V03,16.2305755,20.36703967,0.327522146,0.411227216,0.797658971,False,False,"BMP2,SMAD2",False
tRF-19-1SS2PMER,78.47922944,111.0189066,0.500422609,0.411227216,0.797658971,False,False,,False
tRF-19-4PW3FJF4,11.14953418,12.17932182,0.127450366,0.419750405,0.797658971,False,False,,False
tRF-22-40KK5Y935,12.00040963,11.85659916,-0.017393393,0.419750405,0.797658971,False,False,,False
tRF-21-73VL4YMYE,33.5847921,56.08086924,0.739700613,0.419750405,0.797658971,False,False,"NR1D2,NTRK2",False
tRF-19-J9ZH0S2E,19.38025562,19.71889576,0.024991165,0.419750405,0.797658971,False,False,"SMAD2,RORB,CLOCK",False
tRF-21-Z3M8ZLSSE,26.86644314,25.02273411,-0.102565901,0.435446585,0.797658971,False,False,ARNTL,False
tRF-19-7P596VJ5,47.30578138,52.17923583,0.141459306,0.435446585,0.797658971,False,False,"RORA,BMPR2",False
tRF-18-V29K9U0H,30.63986557,28.68678464,-0.095023695,0.435446585,0.797658971,False,False,"RORA,BMPR1A,BDNF,SMAD2",True
tRF-18-MBQ4NKDJ,104.0005032,91.48933239,-0.184915068,0.435446585,0.797658971,False,False,,False
tRF-22-NB8PLML35,45.65870363,38.48817821,-0.246474514,0.435446585,0.797658971,False,False,SMAD2,False
tRF-21-9N1EWJQ7D,35.80843055,39.86701559,0.154896322,0.435446585,0.797658971,False,False,"NR1D2,NTRK2",False
tRF-22-OB9ZFH691,230.231536,184.3102006,-0.320949541,0.435446585,0.797658971,False,False,"SMAD2,RORA,CLOCK,BMPR2,BMP5,NR1D2,LHX8,KLF7,LIFR,ARNTL2,BMP2,BMP3,KLF4,LIF,BMPR1A,PCYT1A,RORB",True
tRF-23-W47W1R7HX,25.79621077,30.55517043,0.244257366,0.435446585,0.797658971,False,False,,False
tRF-19-7PU9XWK0,20.49574768,23.21921884,0.179994816,0.435446585,0.797658971,False,False,SMAD2,False
tRF-19-INVDRIFU,1259.437361,918.3930787,-0.455595696,0.435446585,0.797658971,False,True,"SMAD2,BMPR1A,BMPR2,SLC5A7,RORA,BMPR1B",True
tRF-19-3IRW18JD,32.33731405,39.61307469,0.292776832,0.435446585,0.797658971,False,False,,False
tRF-23-I8W47W1R00,13.85248702,17.98979898,0.377034051,0.444157552,0.801421142,False,False,,False
tRF-19-V47PU9J8,21.99831001,20.88759098,-0.074746583,0.444157552,0.801421142,False,False,"BMP2,SMAD2",False
tRF-22-877343RX4,17.54674827,19.8809088,0.180180009,0.456204988,0.801421142,False,False,SMAD2,False
tRF-22-YBOZZ7ND2,83.34596077,98.67915879,0.243633134,0.456204988,0.801421142,False,False,"NTRK2,SMAD2,RORA,BMP5,BMPR1A,NR1D2,BMP2K,CLOCK",True
tRF-18-J0DPZODE,18.68084227,18.26579065,-0.032415301,0.456204988,0.801421142,False,False,"SMAD2,BMPR2,STAT5B,BMP5,NTRK2,CLOCK,KLF7,STAT5A",True
tRF-21-YDU37Y93E,27.53620314,26.53779044,-0.05328139,0.456204988,0.801421142,False,False,"SMAD2,NR1D2,RORA",False
tRF-21-WB8HWKS5D,15.10522216,13.70897635,-0.139926553,0.472345573,0.801421142,False,False,,False
tRF-18-739P8WD8,34.0525492,42.79789328,0.329776979,0.472345573,0.801421142,False,False,"SMAD2,RORA",False
tRF-20-Q89P9L84,21.82575096,23.70731762,0.119301144,0.472345573,0.801421142,False,False,"BMPER,BMP1,SMAD2",False
tRF-18-NSRJ7K05,19.59621915,22.35275851,0.189877551,0.472345573,0.801421142,False,False,,False
tRF-20-RX6NMH49,30.46232916,33.08814898,0.119288332,0.472345573,0.801421142,False,False,,False
tRF-19-UIX1Q7HV,408.3247085,320.8649118,-0.347750838,0.472345573,0.801421142,False,False,"LHX6,SMAD2,CLOCK",False
tRF-20-2YU04DYJ,54.07555249,47.74695677,-0.179567717,0.472345573,0.801421142,False,False,"SMAD2,ARNTL,ARNTL2",False
tRF-21-W7WK6WRND,12.11933335,14.81294235,0.289547895,0.472345573,0.801421142,False,False,,False
tRF-20-MBQ4NKKQ,10.39010189,12.80355656,0.301334815,0.472345573,0.801421142,False,False,,False
tRF-23-XBINVDRID1,18.256867,13.16425142,-0.471813725,0.472345573,0.801421142,False,True,"SMAD2,RORA,RORB,PCYT1A,BMP3,LIFR,LHX8,BMPR1A,CLOCK,BDNF,BMPR2,SLC5A7,PRIMA1,BMP5",True
tRF-22-12Z4R95MJ,90.89048909,68.51747259,-0.407657401,0.481250413,0.801421142,False,False,,False
tRF-20-40KK5Y93,18.8014467,16.42241537,-0.195177346,0.481250413,0.801421142,False,False,"NKX2-1,ARNTL2,RORB",False
tRF-21-5N2E489BD,16.53168839,19.78018851,0.2588221,0.481250413,0.801421142,False,False,"SMAD2,RORA",False
tRF-18-OB9ZFHD9,29.05826893,36.96162772,0.347079531,0.481250413,0.801421142,False,False,"SMAD2,RORA,BMPR2,CLOCK,BMP5,NR1D2,KLF7,LHX8,LIFR,ARNTL2,BMP2,KLF4,BMP3,BMPR1A,PCYT1A,RORB,LIF,BMPR1B",True
tRF-18-UP0O5105,32.85165934,32.22033806,-0.027994612,0.481250413,0.801421142,False,False,"NR1D2,KLF7,BMP6,IL6R",True
tRF-20-I363U0EZ,23.65590408,16.8039862,-0.493396793,0.481250413,0.801421142,False,False,,False
tRF-21-RE987S1RD,58.86233033,43.67334474,-0.430591634,0.496006356,0.812563259,False,False,,False
